Marque,Modele,Annee,Prix,Immatriculation,Vitesse_maximale,0_a_100_km/h,Cylindree,Au_regime_de,Couple_maxi,Nombre_de_soupapes,Rapport_volumetrique,Puissance_reelle_maxi_kW,Alesage,Course,Energie_Electrique,Energie_Essence,Energie_Gaz,Energie_Hybride,Norme_anti-pollution_Euro 3,Norme_anti-pollution_Euro 4,Norme_anti-pollution_Euro 5,Norme_anti-pollution_Euro 6,Norme_anti-pollution_nan,Architecture,Alimentation,Injection,Disposition_du_moteur,Puissance_reelle_maxi_ch,poids_a_vide,ptac,ptra,charge_utile,poids_tracte_freine,poids_tracte_non_freine,materiau_des_jantes_Alu,materiau_des_jantes_Aluminium,materiau_des_jantes_Enjoliveurs,materiau_des_jantes_Peintes,materiau_des_jantes_nan,types_de_pneumatiques,taille_des_roues_avant,taille_des_roues_arriere,type_de_roues_de_secours,nombre_de_places,volume_de_coffre,volume_de_coffre_utile,Mixte,Emission_de_CO2,Cycle_urbain,Extra_urbain,Boite_de_vitesses,Mode_de_transmission,puissance_commerciale,puissance_fiscale,consommation_mixte,emission_de_co2,energie_Electrique,energie_Essence,energie_Gaz,energie_Hybride,boite_de_vitesses_Manuelle,carrosserie,longueur,largeur,hauteur,empattement,reservoir,porte_a_faux_avant,porte_a_faux_arriere,voies_avant,voies_arriere,garde_au_sol
28190087.5200224,28190087.5200224,30959232.789224587,55075273,7e546927-d3e3-477f-8971-b0cd70187264,160.0,8.6,2998.0,4750.0,450.0,24.0,11.0,210.0,82.0,94.6,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,40563542.01660886,25432239.11804961,31460359.978947368,38283176.946385056,45809406.88648735,2669.0,3500.0,7000.0,831.0,3500.0,750.0,0.0,1.0,0.0,0.0,0.0,24598719.3159038,28190087.5200224,28190087.5200224,22727267.49712092,5.0,1152.0,2035.0,14.4,325.0,13.46,7.480000000000001,36789851.15366431,35372498.8908031,286.0,0.0,14.4,325.0,0.0,1.0,0.0,0.0,0.0,30891361.42266824,4.9,1.93,2.05,2.92,90.0,0.887,0.874,1.645,1.645,264.0
33414975.833659492,27536323.29965412,17291964.16737069,24613286,fb2f74bc-f6e0-4624-967c-78d9466accfa,235.0,9.2,2597.0,4500.0,240.0,18.0,10.5,125.0,89.9,68.2,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,39761696.63112383,19406938.01574803,18940612.851445664,38283176.946385056,28607188.75370937,1535.0,2015.0,3515.0,480.0,1500.0,750.0,0.0,0.0,0.0,0.0,1.0,20595607.53743471,19219847.23333333,19158817.717391305,19476528.53862105,5.0,465.0,1510.0,10.8,259.0,16.0,7.8,24202373.90138675,33864912.690795355,157.4,12.0,10.8,148.6,0.0,1.0,0.0,0.0,1.0,32785312.074572127,4.52,1.72,1.43,2.72,62.0,1.0038,1.1132000000000002,1.5,1.47,141.0
44031299.97188469,26429714.56463874,17543282.207104065,27841422,cab0aab1-ba72-4778-b7f4-d1efaa37d5a9,230.0,8.5,2720.0,1900.0,435.0,24.0,17.3,153.0,81.0,88.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,39761696.63112383,44690670.53855818,26680972.63857678,38283176.946385056,24717276.16589418,1722.0,2255.0,4105.0,533.0,1850.0,750.0,0.0,1.0,0.0,0.0,0.0,20595607.53743471,25007759.78475549,25237244.65997641,24715394.52808989,5.0,400.0,810.0,7.1,189.0,9.7,5.7,24202373.90138675,33864912.690795355,167.2,13.0,7.1,161.8,0.0,0.0,0.0,0.0,1.0,32785312.074572127,4.91,1.82,1.45,2.91,70.0,0.9508,1.0888,1.534,1.542,143.0
34756270.88790035,38622368.76854405,18465343.455843583,29377040,0285f39e-16ab-410d-939c-37de56206408,245.0,7.1,2979.0,3500.0,300.0,24.0,10.2,170.0,84.0,89.6,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,40563542.01660886,19406938.01574803,18940612.851445664,38283176.946385056,31039493.067506365,1580.0,2065.0,4065.0,485.0,2000.0,750.0,0.0,0.0,0.0,0.0,1.0,20595607.53743471,29551211.222449858,29569454.192940995,19476528.53862105,5.0,520.0,1775.0,9.9,245.0,14.2,7.5,29295262.692050077,33864912.690795355,169.6,15.0,9.9,199.0,0.0,1.0,0.0,0.0,0.0,32785312.074572127,4.84,1.85,1.47,2.89,70.0,0.8404,1.0444,1.558,1.582,158.6
17044474.43054762,22586604.645306915,17897345.95668386,12418476,3ea13155-3031-4ade-836f-c72c593b671c,170.0,12.5,1686.0,2300.0,240.0,16.0,18.4,74.0,79.0,86.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,23072341.52934103,26276015.74640598,26680972.63857678,21681371.152758133,13707288.63468087,1290.0,1855.0,2855.0,565.0,1000.0,521.0,0.0,1.0,0.0,0.0,0.0,20595607.53743471,11612038.528671443,11489789.38295976,22727267.49712092,5.0,455.0,2700.0,5.2,140.0,6.6,4.4,14065157.677058354,19470409.71635553,88.4,6.0,5.2,140.0,0.0,0.0,0.0,0.0,1.0,17206090.74705873,4.32,1.68,1.8,2.72,52.0,0.8314,0.7984,1.417,1.44,125.6
34891491.92804715,25072370.95835923,21846676.895059973,24436356,0937655d-3cb1-4311-a657-c8fd974daa63,205.0,10.2,2231.0,3600.0,340.0,16.0,15.7,110.0,86.0,96.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,23072341.52934103,26276015.74640598,26680972.63857678,21681371.152758133,25103235.304740407,1540.0,2075.0,3575.0,490.0,1500.0,560.0,0.0,1.0,0.0,0.0,0.0,20595607.53743471,26253576.94411516,37127717.942664064,24715394.52808989,5.0,398.0,1377.2,5.1,134.0,6.3,4.4,24202373.90138675,33864912.690795355,177.0,8.0,5.1,134.0,0.0,0.0,0.0,0.0,1.0,32785312.074572127,4.59,1.8,1.44,2.73,65.0,0.82,1.035,1.535,1.535,180.2
17407682.681198917,19301591.57954582,22759573.030104388,18894778,31e0569c-600e-46cb-8f91-45c525e89821,180.0,12.5,1461.0,1750.0,240.0,8.0,15.6,81.0,76.0,80.5,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,23072341.52934103,26276015.74640598,26680972.63857678,21681371.152758133,16434021.000034103,1385.0,1944.0,3264.0,404.0,1300.0,730.0,0.0,1.0,0.0,0.0,0.0,20595607.53743471,20207049.157216363,20194025.929681484,25133822.87264151,5.0,470.0,1870.0,4.1,105.0,4.5,3.9,24202373.90138675,19470409.71635553,110.0,5.0,4.1,105.0,0.0,0.0,0.0,0.0,1.0,23426411.04068857,4.37,1.85,1.64,2.7,60.0,0.885,0.757,1.545,1.547,120.0
16585205.985079305,17211136.0578861,18465343.455843583,15489712,0e6a4256-8917-42b3-bfdf-84c419f3f429,188.0,11.8,1997.0,1750.0,250.0,8.0,17.6,79.0,85.0,88.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,23072341.52934103,19757982.332198568,26680972.63857678,21681371.152758133,16434021.000034103,1279.0,1779.0,3199.0,500.0,1340.0,656.0,0.0,0.0,0.0,0.0,1.0,20595607.53743471,19219847.23333333,19158817.717391305,22727267.49712092,5.0,341.0,1328.0,5.2,138.0,7.0,4.2,14065157.677058354,19470409.71635553,110.0,6.0,5.2,137.4,0.0,0.0,0.0,0.0,1.0,15662558.052013423,4.2,1.75,1.51,2.61,60.0,0.878,0.716,1.497,1.502,147.2
6922408.001760564,21528873.88200771,20170005.34561081,5880749,105a5377-e006-4fc2-85f3-21b4c566ca78,160.8,14.72,690.0,6100.0,80.6,5.6,11.54,0.0,69.47999999999999,59.24,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,8798244.211382125,12179055.95026178,7645246.457534265,16749752.8591224,5304579.614093546,192.2,1381.0,2290.0,429.8,988.0,494.0,0.0,0.0,0.0,0.0,1.0,16426158.864086408,14142998.07117853,14149700.4009324,19476528.53862105,4.8,246.2,1031.2,4.98,121.6,8.440000000000001,5.180000000000001,6858093.216200304,7465621.600713013,66.4,7.0,4.82,111.6,0.0,1.0,0.0,0.0,1.0,8815288.687960688,2.128,0.82,1.142,1.4839999999999998,12.4,0.7492,0.6386,1.4089999999999998,1.3830000000000002,199.0
21586736.28467383,23325995.351392407,30877703.818191182,25905208,cc2a91d6-c28b-4997-b885-a71f2c6c019c,192.0,10.8,1496.0,4000.0,270.0,12.0,16.5,85.0,84.0,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,16131529.103305783,26276015.74640598,26680972.63857678,21681371.152758133,22927900.761365093,1405.0,1930.0,3665.8,525.0,1200.0,740.0,0.0,1.0,0.0,0.0,0.0,28948644.35253828,24415846.830128152,24041486.527868904,28263347.843927357,5.0,360.0,1250.0,4.8,125.0,9.4,5.94,29809416.300904974,19470409.71635553,116.0,6.0,4.8,125.0,0.0,0.0,0.0,0.0,0.0,25809557.077395577,4.27,1.8,1.44,2.67,48.0,0.801,0.795,1.564,1.565,141.0
14537778.533808671,20760088.18859092,17299324.946558904,7531872,1765e318-7203-47ad-92c7-fadec4a45636,135.0,17.2,599.0,2600.0,146.0,6.0,9.86,40.0,77.34,79.72,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,16131529.103305783,25432239.11804961,20898796.57357366,16749752.8591224,20189862.14714234,756.6,980.0,1970.2,400.2,830.0,392.0,0.0,0.0,0.0,0.0,1.0,16426158.864086408,14142998.07117853,14149700.4009324,19476528.53862105,4.0,214.6,857.8,5.1,118.0,6.3,4.3,29295262.692050077,33864912.690795355,97.0,4.0,5.1,139.2,0.0,1.0,0.0,0.0,0.0,32627832.80356511,2.5,1.52,1.53,1.81,22.0,0.674,0.493,1.4053999999999998,1.411,220.8
28269535.309184983,26062180.499299858,23781795.36986361,36781389,42c87464-a592-42fa-83d0-126a791060ac,250.0,5.5,3498.0,5000.0,350.0,24.0,12.82,268.0,88.36,91.44,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,26152626.936971918,19406938.01574803,18940612.851445664,38283176.946385056,25809898.182608742,1830.0,2400.0,3673.0,544.6,1500.0,750.0,0.0,1.0,0.0,0.0,0.0,20595607.53743471,35464440.53660658,34455252.42825401,24715394.52808989,5.0,350.0,1539.4,6.9,159.0,9.0,5.6,40158231.57353714,33864912.690795355,202.6,19.0,6.9,159.0,0.0,0.0,0.0,1.0,0.0,32785312.074572127,4.95,1.85,1.5,2.9,70.0,0.8789999999999999,0.9992,1.575,1.57,146.4
33414975.833659492,27536323.29965412,21846676.895059973,22633674,caf5fafc-ae09-40b7-b3a8-c45d12787668,230.0,9.5,1796.0,2800.0,230.0,16.0,9.3,115.0,82.0,85.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,23072341.52934103,30721548.883327752,18940612.851445664,38283176.946385056,28710616.912489228,1485.0,1970.0,3670.0,485.0,1700.0,740.0,0.0,1.0,0.0,0.0,0.0,20595607.53743471,24415846.830128152,24041486.527868904,19476528.53862105,5.0,475.0,1339.0,6.9,163.0,9.6,5.3,24202373.90138675,33864912.690795355,147.6,9.0,6.9,163.0,0.0,1.0,0.0,0.0,1.0,32785312.074572127,4.58,1.77,1.45,2.76,66.0,0.765,1.056,1.549,1.552,166.6
20951047.019662928,13074116.232917301,17299324.946558904,7564588,f9760c49-3b6a-458b-a99b-81d57da95076,152.0,11.0,1198.0,4180.0,108.4,12.0,12.48,40.0,72.72,73.12,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,23072341.52934103,19406938.01574803,18940612.851445664,16749752.8591224,20189862.14714234,622.0,1570.0,1887.2,376.2,810.0,402.0,0.0,0.0,0.0,0.0,1.0,16426158.864086408,14142998.07117853,14149700.4009324,19476528.53862105,4.2,222.4,863.8,5.8,139.0,7.7,4.7,14065157.677058354,19470409.71635553,74.4,4.0,5.8,131.4,0.0,1.0,0.0,0.0,1.0,15662558.052013423,3.9,1.65,1.47,2.46,45.0,0.6664000000000001,0.4798,1.4312,1.412,174.0
