types_de_pneumatiques,materiau_des_jantes,taille_des_roues_avant,taille_des_roues_arriere,type_de_roues_de_secours,Immatriculation,Prix
4x4,Aluminium,265/70 R17,265/70 R17,Normale,7e546927-d3e3-477f-8971-b0cd70187264,55075273
Classique,,205/55 R16,205/55 R16,,fb2f74bc-f6e0-4624-967c-78d9466accfa,24613286
Classique,Aluminium,235/50 R17,235/50 R17,Galette,cab0aab1-ba72-4778-b7f4-d1efaa37d5a9,27841422
Classique,,225/55 R16,225/55 R16,,0285f39e-16ab-410d-939c-37de56206408,29377040
Classique,Aluminium,185/60 R15,185/60 R15,Normale,3ea13155-3031-4ade-836f-c72c593b671c,12418476
Classique,Aluminium,225/40 R18,255/40 R18,Galette,0937655d-3cb1-4311-a657-c8fd974daa63,24436356
Classique,Aluminium,205/60 R16,205/60 R16,Kit de dépannage pneumatique,31e0569c-600e-46cb-8f91-45c525e89821,18894778
Classique,,205/55 R16,205/55 R16,Normale,0e6a4256-8917-42b3-bfdf-84c419f3f429,15489712
,,,,,105a5377-e006-4fc2-85f3-21b4c566ca78,5880749
Eté,Aluminium,225/45 R17,225/45 R17,Kit anti-crevaison,cc2a91d6-c28b-4997-b885-a71f2c6c019c,25905208
,,,,,1765e318-7203-47ad-92c7-fadec4a45636,7531872
Classique,Aluminium,245/50 R18,245/50 R18,Galette,42c87464-a592-42fa-83d0-126a791060ac,36781389
Classique,Aluminium,225/45 R17,225/45 R17,,caf5fafc-ae09-40b7-b3a8-c45d12787668,22633674
,,,,,f9760c49-3b6a-458b-a99b-81d57da95076,7564588
Eté,Aluminium,195/45 R16,195/45 R16,Kit anti-crevaison,84a801e3-aaf6-469e-82e3-5cd7eb062256,11844288
Classique,,205/60 R15,205/60 R15,Normale,1a605daf-0d52-49e9-b007-b24b6a657fda,21285001
Eté,Acier,195/75 R16,195/75 R16,Kit anti-crevaison,b8762612-ec76-44c5-b663-c8cc6996b7fc,26559515
Classique,Aluminium,195/65 R15,195/65 R15,Normale,48687b27-2ebd-4a6e-90f7-b3b0fefa05c3,17092096
Eté,Acier,205/65 R16,205/65 R16,,30174b94-5836-421e-867b-014d2f4281ee,27387413
Eté,Aluminium,225/45 R17,225/45 R17,Kit anti-crevaison,4eab1897-2a8e-4aca-817e-25a8005c8bba,19405538
Toutes saisons,Aluminium,235/55 R18,235/55 R18,,12a83191-888d-40c5-9db9-560ac630f71a,34598141
Classique,Aluminium,235/45 R17,235/45 R17,,b20235d5-45a9-4014-8bc0-9f0b90555aab,23141096
Saver,Acier,235/55 R17,235/55 R17,Normale,1b9df14f-3057-49e0-9a32-8bcc0f959702,40940911
Runflat,Aluminium,205/55 R16,205/55 R16,,60ebf7fa-3908-44bc-a17b-656af6cce5f5,25170782
