Mixte,Emission_de_CO2,Cycle_urbain,Extra_urbain,Prix,Immatriculation
14.4,325.0,13.459999999999999,7.480000000000001,55075273.0,7e546927-d3e3-477f-8971-b0cd70187264
10.8,259.0,16.0,7.8,24613286.0,fb2f74bc-f6e0-4624-967c-78d9466accfa
7.1,189.0,9.7,5.7,27841422.0,cab0aab1-ba72-4778-b7f4-d1efaa37d5a9
9.9,245.0,14.2,7.5,29377040.0,0285f39e-16ab-410d-939c-37de56206408
5.2,140.0,6.6,4.4,12418476.0,3ea13155-3031-4ade-836f-c72c593b671c
5.1,134.0,6.3,4.4,24436356.0,0937655d-3cb1-4311-a657-c8fd974daa63
4.1,105.0,4.5,3.9,18894778.0,31e0569c-600e-46cb-8f91-45c525e89821
5.2,138.0,7.0,4.2,15489712.0,0e6a4256-8917-42b3-bfdf-84c419f3f429
4.98,121.6,8.440000000000001,5.180000000000001,5880749.0,105a5377-e006-4fc2-85f3-21b4c566ca78
4.8,125.0,9.4,5.94,25905208.0,cc2a91d6-c28b-4997-b885-a71f2c6c019c
5.1,118.0,6.3,4.3,7531872.0,1765e318-7203-47ad-92c7-fadec4a45636
6.9,159.0,9.0,5.6,36781389.0,42c87464-a592-42fa-83d0-126a791060ac
6.9,163.0,9.6,5.3,22633674.0,caf5fafc-ae09-40b7-b3a8-c45d12787668
5.8,139.0,7.7,4.7,7564588.0,f9760c49-3b6a-458b-a99b-81d57da95076
4.3,99.0,5.4,3.7,11844288.0,84a801e3-aaf6-469e-82e3-5cd7eb062256
10.2,245.0,14.1,8.0,21285001.0,1a605daf-0d52-49e9-b007-b24b6a657fda
6.42,187.0,8.34,5.34,26559515.0,b8762612-ec76-44c5-b663-c8cc6996b7fc
7.9,190.0,11.4,5.9,17092096.0,48687b27-2ebd-4a6e-90f7-b3b0fefa05c3
7.4,195.0,9.0,6.6,27387413.0,30174b94-5836-421e-867b-014d2f4281ee
5.0,118.0,5.9,4.5,19405538.0,4eab1897-2a8e-4aca-817e-25a8005c8bba
7.3,169.0,9.5,6.0,34598141.0,12a83191-888d-40c5-9db9-560ac630f71a
8.2,197.0,11.3,6.4,23141096.0,b20235d5-45a9-4014-8bc0-9f0b90555aab
9.4,216.0,12.1,7.9,40940911.0,1b9df14f-3057-49e0-9a32-8bcc0f959702
4.7,123.0,5.7,4.1,25170782.0,60ebf7fa-3908-44bc-a17b-656af6cce5f5
4.4,103.0,5.1,4.0,9914751.0,2d26c9a6-5690-4070-9bba-c9fa908d08a4
4.4,116.0,4.8,4.2,11283454.0,ac1364c8-a1a9-4657-91db-c499caa71bb9
