Cylindree,Au_regime_de,Couple_maxi,Nombre_de_soupapes,Rapport_volumetrique,Puissance_reelle_maxi_kW,Alesage,Course,Prix,Energie_Electrique,Energie_Essence,Energie_Gaz,Energie_Hybride,Norme_anti-pollution_Euro 3,Norme_anti-pollution_Euro 4,Norme_anti-pollution_Euro 5,Norme_anti-pollution_Euro 6,Norme_anti-pollution_nan,Architecture,Alimentation,Injection,Disposition_du_moteur,Puissance_reelle_maxi_ch,Immatriculation
2998.0,4750.0,450.0,24.0,11.0,210.0,82.0,94.6,55075273.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,40563542.01660886,25432239.118049614,31460359.978947368,38283176.946385056,45809406.88648735,7e546927-d3e3-477f-8971-b0cd70187264
2597.0,4500.0,240.0,18.0,10.5,125.0,89.9,68.2,24613286.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,39761696.631123826,19406938.01574803,18940612.851445664,38283176.946385056,28607188.75370937,fb2f74bc-f6e0-4624-967c-78d9466accfa
2720.0,1900.0,435.0,24.0,17.3,153.0,81.0,88.0,27841422.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,39761696.631123826,44690670.53855818,26680972.63857678,38283176.946385056,24717276.16589418,cab0aab1-ba72-4778-b7f4-d1efaa37d5a9
2979.0,3500.0,300.0,24.0,10.2,170.0,84.0,89.6,29377040.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,40563542.01660886,19406938.01574803,18940612.851445664,38283176.946385056,31039493.067506365,0285f39e-16ab-410d-939c-37de56206408
1686.0,2300.0,240.0,16.0,18.4,74.0,79.0,86.0,12418476.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,23072341.52934103,26276015.74640598,26680972.63857678,21681371.152758133,13707288.63468087,3ea13155-3031-4ade-836f-c72c593b671c
2231.0,3600.0,340.0,16.0,15.7,110.0,86.0,96.0,24436356.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,23072341.52934103,26276015.74640598,26680972.63857678,21681371.152758133,25103235.304740407,0937655d-3cb1-4311-a657-c8fd974daa63
1461.0,1750.0,240.0,8.0,15.6,81.0,76.0,80.5,18894778.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,23072341.52934103,26276015.74640598,26680972.63857678,21681371.152758133,16434021.000034105,31e0569c-600e-46cb-8f91-45c525e89821
1997.0,1750.0,250.0,8.0,17.6,79.0,85.0,88.0,15489712.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,23072341.52934103,19757982.332198568,26680972.63857678,21681371.152758133,16434021.000034105,0e6a4256-8917-42b3-bfdf-84c419f3f429
690.0,6100.0,80.6,5.6,11.540000000000001,0.0,69.47999999999999,59.239999999999995,5880749.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,8798244.211382125,12179055.950261781,7645246.457534265,16749752.859122401,5304579.614093546,105a5377-e006-4fc2-85f3-21b4c566ca78
1496.0,4000.0,270.0,12.0,16.5,85.0,84.0,90.0,25905208.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,16131529.103305785,26276015.74640598,26680972.63857678,21681371.152758133,22927900.761365093,cc2a91d6-c28b-4997-b885-a71f2c6c019c
599.0,2600.0,146.0,6.0,9.86,40.0,77.34,79.72,7531872.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,16131529.103305785,25432239.118049614,20898796.57357366,16749752.859122401,20189862.14714234,1765e318-7203-47ad-92c7-fadec4a45636
3498.0,5000.0,350.0,24.0,12.819999999999999,268.0,88.36,91.44,36781389.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,26152626.936971914,19406938.01574803,18940612.851445664,38283176.946385056,25809898.182608746,42c87464-a592-42fa-83d0-126a791060ac
1796.0,2800.0,230.0,16.0,9.3,115.0,82.0,85.0,22633674.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,23072341.52934103,30721548.883327752,18940612.851445664,38283176.946385056,28710616.912489228,caf5fafc-ae09-40b7-b3a8-c45d12787668
1198.0,4180.0,108.4,12.0,12.48,40.0,72.72,73.12,7564588.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,23072341.52934103,19406938.01574803,18940612.851445664,16749752.859122401,20189862.14714234,f9760c49-3b6a-458b-a99b-81d57da95076
998.0,6000.0,170.0,12.0,10.0,74.0,71.9,82.0,11844288.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,16131529.103305785,25432239.118049614,28931117.84985374,21681371.152758133,13707288.63468087,84a801e3-aaf6-469e-82e3-5cd7eb062256
1781.0,1750.0,210.0,20.0,9.3,110.0,81.0,86.4,21285001.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,23072341.52934103,16466949.303909805,18940612.851445664,21681371.152758133,25103235.304740407,1a605daf-0d52-49e9-b007-b24b6a657fda
2287.0,2650.0,270.0,16.0,16.2,78.0,88.0,84.0,26559515.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,23072341.52934103,25432239.118049614,26680972.63857678,16749752.859122401,19597045.117058523,b8762612-ec76-44c5-b663-c8cc6996b7fc
1984.0,3300.0,195.0,20.0,10.3,96.0,82.5,92.8,17092096.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,23072341.52934103,19406938.01574803,18940612.851445664,21681371.152758133,20320639.538488705,48687b27-2ebd-4a6e-90f7-b3b0fefa05c3
2143.0,3800.0,310.0,16.0,17.5,100.0,88.0,88.3,27387413.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,23072341.52934103,26276015.74640598,26680972.63857678,38283176.946385056,25504888.160491057,30174b94-5836-421e-867b-014d2f4281ee
1395.0,4500.0,250.0,16.0,10.5,110.0,74.5,80.0,19405538.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,23072341.52934103,25432239.118049614,31460359.978947368,21681371.152758133,25103235.304740407,4eab1897-2a8e-4aca-817e-25a8005c8bba
1969.0,5700.0,400.0,16.0,10.3,225.0,82.0,93.2,34598141.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,23072341.52934103,27118037.97763154,18940612.851445664,21681371.152758133,41221021.05592072,12a83191-888d-40c5-9db9-560ac630f71a
1781.0,5700.0,225.0,20.0,9.3,120.0,81.0,86.4,23141096.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,23072341.52934103,19757982.332198568,18940612.851445664,21681371.152758133,28993201.101633847,b20235d5-45a9-4014-8bc0-9f0b90555aab
1984.0,4200.0,350.0,16.0,13.080000000000002,150.0,87.82000000000001,97.25800000000001,40940911.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,23072341.52934103,27912203.44233807,31460359.978947368,21681371.152758133,36509985.77762659,1b9df14f-3057-49e0-9a32-8bcc0f959702
1995.0,4000.0,300.0,16.0,16.0,105.0,84.0,90.0,25170782.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,23072341.52934103,26276015.74640598,26680972.63857678,38283176.946385056,23496702.675622895,60ebf7fa-3908-44bc-a17b-656af6cce5f5
999.0,4500.0,92.0,12.0,9.9,52.0,72.0,81.8,9914751.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,16131529.103305785,19406938.01574803,18940612.851445664,53140633.94515256,16573198.62511886,2d26c9a6-5690-4070-9bba-c9fa908d08a4
