nombre_de_places,volume_de_coffre,volume_de_coffre_utile,Prix,Immatriculation
5.0,1152.0,2035.0,55075273.0,7e546927-d3e3-477f-8971-b0cd70187264
5.0,465.0,1510.0,24613286.0,fb2f74bc-f6e0-4624-967c-78d9466accfa
5.0,400.0,810.0,27841422.0,cab0aab1-ba72-4778-b7f4-d1efaa37d5a9
5.0,520.0,1775.0,29377040.0,0285f39e-16ab-410d-939c-37de56206408
5.0,455.0,2700.0,12418476.0,3ea13155-3031-4ade-836f-c72c593b671c
5.0,398.0,1377.2,24436356.0,0937655d-3cb1-4311-a657-c8fd974daa63
5.0,470.0,1870.0,18894778.0,31e0569c-600e-46cb-8f91-45c525e89821
5.0,341.0,1328.0,15489712.0,0e6a4256-8917-42b3-bfdf-84c419f3f429
4.8,246.2,1031.2,5880749.0,105a5377-e006-4fc2-85f3-21b4c566ca78
5.0,360.0,1250.0,25905208.0,cc2a91d6-c28b-4997-b885-a71f2c6c019c
4.0,214.6,857.8,7531872.0,1765e318-7203-47ad-92c7-fadec4a45636
5.0,350.0,1539.4,36781389.0,42c87464-a592-42fa-83d0-126a791060ac
5.0,475.0,1339.0,22633674.0,caf5fafc-ae09-40b7-b3a8-c45d12787668
4.2,222.4,863.8,7564588.0,f9760c49-3b6a-458b-a99b-81d57da95076
5.0,290.0,974.0,11844288.0,84a801e3-aaf6-469e-82e3-5cd7eb062256
5.2,1130.2,1468.6,21285001.0,1a605daf-0d52-49e9-b007-b24b6a657fda
3.0,583.0,1125.4,26559515.0,b8762612-ec76-44c5-b663-c8cc6996b7fc
5.0,445.0,720.0,17092096.0,48687b27-2ebd-4a6e-90f7-b3b0fefa05c3
5.0,730.0,1414.2,27387413.0,30174b94-5836-421e-867b-014d2f4281ee
5.0,380.0,1240.6,19405538.0,4eab1897-2a8e-4aca-817e-25a8005c8bba
5.0,495.0,710.0,34598141.0,12a83191-888d-40c5-9db9-560ac630f71a
5.0,460.0,720.0,23141096.0,b20235d5-45a9-4014-8bc0-9f0b90555aab
4.0,667.2,5375.0,40940911.0,1b9df14f-3057-49e0-9a32-8bcc0f959702
5.0,460.0,1464.6,25170782.0,60ebf7fa-3908-44bc-a17b-656af6cce5f5
2.0,220.0,340.0,9914751.0,2d26c9a6-5690-4070-9bba-c9fa908d08a4
5.0,800.0,3000.0,11283454.0,ac1364c8-a1a9-4657-91db-c499caa71bb9
5.2,359.8,1300.6,14239852.0,b5a6b646-7d6f-4489-8025-9e70347ade7d
4.0,480.0,980.0,34337754.0,ba1b7bc5-5031-432b-aaf1-2de6fd753954
3.0,459.4,1394.2,23795402.0,5a5a0420-1f12-40a8-a90c-39e7a68b775f
7.0,502.0,1573.2,42543295.0,02c4f548-c0ad-4e58-976a-68563c7e8db9
5.0,232.4,1058.4,1694521.0,2a707a28-4cd0-43a1-a69e-71f73c41dec6
5.0,540.0,2250.0,53946928.0,30a666ba-fcc5-48d8-9ab8-eceb97cdbea0
4.0,757.2,1775.0,16444466.0,42ef11ca-2db3-46ce-bbc0-d8329ab8c7e7
5.0,790.0,3200.0,15683333.0,b40f9de0-653b-4b0f-af06-ecc0d857716b
5.0,410.0,2346.4,44432773.0,1fe0cd35-9e25-430a-83e1-14946c633fee
3.8,266.0,1438.6,23227224.0,ead240fa-4f1f-4045-8a81-36227121a7c5
6.0,846.8,2021.8,36482278.0,67a91015-bab5-4639-bc02-dda06dc2dcfb
5.0,775.0,1414.0,20570605.0,ae44c7c9-1456-4909-a2c5-a58d30035948
5.0,456.0,1216.0,24603271.0,b360b831-31f5-4bc3-8986-899b2f946482
5.0,345.0,844.0,27908188.0,35e86943-8fdf-4952-b6bc-dab5c314a9e0
4.0,489.6,1445.2,24023742.0,d5a41251-d9b0-4c80-a717-d890443914cc
3.0,520.4,1764.2,35837318.0,f4cb5363-7f57-4fe6-b2da-d5758fc863c8
5.0,435.0,1995.0,16791649.0,542fa22e-5c45-4ab3-b02f-94c8134753c2
5.0,495.0,710.0,26913375.0,393628cc-3218-46a6-9d7c-7be121395737
5.0,280.0,952.0,13172932.0,c4ab0543-4b38-4ecf-8fa7-f7d03261d243
5.0,430.0,1598.0,19709323.0,10ae3fac-21f3-4841-bb98-f25d7747de38
4.8,407.8,1026.6,20542563.0,e3364f90-b231-45a4-a6a2-d4af4c88a7f4
5.0,500.0,2124.6,56711040.0,3ea832c9-8a90-40cd-b6cb-78559445ef5e
5.0,610.0,1660.0,19462289.0,77c94b34-2303-4766-9a15-a14b31055b54
5.0,435.0,1995.0,18026820.0,3603ec70-24b3-4279-bb34-93a0076d5ae1
5.0,285.0,1076.0,14621754.0,43e2ad09-7652-43a7-84ee-476562ae3cef
5.0,232.4,1058.4,1368035.0,4e7aea1c-2ee1-4870-8ff1-f5cbb0332d74
5.0,380.0,1200.0,20296864.0,f10f71dd-1245-47b6-ba77-45ad66f9aa69
5.0,540.0,1513.2,18961544.0,8193669f-0db8-4bf9-903f-3111e3f6c982
6.0,536.2,1587.0,43689000.0,67d69447-2bfb-4ac3-8e7e-8ee51b3284c4
