Boite_de_vitesses,Mode_de_transmission,Prix,Immatriculation
Automatique 8 rapports,Transmission intégrale permanente,55075273,7e546927-d3e3-477f-8971-b0cd70187264
Mécanique 6 rapports,Propulsion,24613286,fb2f74bc-f6e0-4624-967c-78d9466accfa
Mécanique 6 rapports,Propulsion,27841422,cab0aab1-ba72-4778-b7f4-d1efaa37d5a9
Automatique 6 rapports,Propulsion,29377040,0285f39e-16ab-410d-939c-37de56206408
Mécanique 5 rapports,Traction,12418476,3ea13155-3031-4ade-836f-c72c593b671c
Mécanique 6 rapports,Propulsion,24436356,0937655d-3cb1-4311-a657-c8fd974daa63
Mécanique 6 rapports,Traction,18894778,31e0569c-600e-46cb-8f91-45c525e89821
Mécanique 5 rapports,Traction,15489712,0e6a4256-8917-42b3-bfdf-84c419f3f429
Manuelle,,5880749,105a5377-e006-4fc2-85f3-21b4c566ca78
Mécanique robotisée 7 rapports à double embrayage,Traction,25905208,cc2a91d6-c28b-4997-b885-a71f2c6c019c
Automatique 6 rapports,Propulsion,7531872,1765e318-7203-47ad-92c7-fadec4a45636
Automatique séquentielle 7 rapports,Propulsion,36781389,42c87464-a592-42fa-83d0-126a791060ac
Mécanique 6 rapports,Propulsion,22633674,caf5fafc-ae09-40b7-b3a8-c45d12787668
Mécanique 5 rapports,Traction,7564588,f9760c49-3b6a-458b-a99b-81d57da95076
Mécanique 5 rapports,Traction,11844288,84a801e3-aaf6-469e-82e3-5cd7eb062256
Automatique séquentielle 5 rapports,Traction,21285001,1a605daf-0d52-49e9-b007-b24b6a657fda
Mécanique 6 rapports,Propulsion,26559515,b8762612-ec76-44c5-b663-c8cc6996b7fc
Mécanique 5 rapports,Traction,17092096,48687b27-2ebd-4a6e-90f7-b3b0fefa05c3
Mécanique 6 rapports,Propulsion,27387413,30174b94-5836-421e-867b-014d2f4281ee
Mécanique robotisée 7 rapports à double embrayage,Traction,19405538,4eab1897-2a8e-4aca-817e-25a8005c8bba
Automatique séquentielle 8 rapports,Traction,34598141,12a83191-888d-40c5-9db9-560ac630f71a
Mécanique 5 rapports,Traction,23141096,b20235d5-45a9-4014-8bc0-9f0b90555aab
Mécanique robotisée 7 rapports à double embrayage,Traction,40940911,1b9df14f-3057-49e0-9a32-8bcc0f959702
Mécanique 6 rapports,Propulsion,25170782,60ebf7fa-3908-44bc-a17b-656af6cce5f5
Automatique séquentielle 5 rapports,Propulsion,9914751,2d26c9a6-5690-4070-9bba-c9fa908d08a4
Mécanique 6 rapports,Traction,11283454,ac1364c8-a1a9-4657-91db-c499caa71bb9
Mécanique 5 rapports,Traction,14239852,b5a6b646-7d6f-4489-8025-9e70347ade7d
Mécanique robotisée 7 rapports à double embrayage,Transmission intégrale,34337754,ba1b7bc5-5031-432b-aaf1-2de6fd753954
Robotisée simple embrayage 6,Traction,23795402,5a5a0420-1f12-40a8-a90c-39e7a68b775f
Mécanique robotisée 6 rapports à double embrayage,Traction,42543295,02c4f548-c0ad-4e58-976a-68563c7e8db9
Manuelle,,1694521,2a707a28-4cd0-43a1-a69e-71f73c41dec6
Auto séquent. 9,Transmission intégrale,53946928,30a666ba-fcc5-48d8-9ab8-eceb97cdbea0
Mécanique 5 rapports,Traction,16444466,42ef11ca-2db3-46ce-bbc0-d8329ab8c7e7
Mécanique 6 rapports,Traction,15683333,b40f9de0-653b-4b0f-af06-ecc0d857716b
Automatique 8 rapports,Transmission intégrale,44432773,1fe0cd35-9e25-430a-83e1-14946c633fee
Mécanique 5 rapports,Propulsion,23227224,ead240fa-4f1f-4045-8a81-36227121a7c5
Mécanique 6 rapports,Propulsion,36482278,67a91015-bab5-4639-bc02-dda06dc2dcfb
Automatique 8 rapports,Traction,20570605,ae44c7c9-1456-4909-a2c5-a58d30035948
Mécanique 6 rapports,Traction,24603271,b360b831-31f5-4bc3-8986-899b2f946482
Mécanique robotisée 8 rapports à double embrayage,Traction,27908188,35e86943-8fdf-4952-b6bc-dab5c314a9e0
Mécanique 6 rapports,Transmission intégrale enclenchable,24023742,d5a41251-d9b0-4c80-a717-d890443914cc
Mécanique 6 rapports,Propulsion,35837318,f4cb5363-7f57-4fe6-b2da-d5758fc863c8
Automatique à variation continue,Traction,16791649,542fa22e-5c45-4ab3-b02f-94c8134753c2
Mécanique 6 rapports,Traction,26913375,393628cc-3218-46a6-9d7c-7be121395737
Mécanique robotisée 7 rapports à double embrayage,Traction,13172932,c4ab0543-4b38-4ecf-8fa7-f7d03261d243
Mécanique 6 rapports,Traction,19709323,10ae3fac-21f3-4841-bb98-f25d7747de38
Mécanique 6 rapports,Propulsion,20542563,e3364f90-b231-45a4-a6a2-d4af4c88a7f4
Automatique séquentielle 6 rapports,Transmission Intégrale,56711040,3ea832c9-8a90-40cd-b6cb-78559445ef5e
Mécanique 6 rapports,Traction,19462289,77c94b34-2303-4766-9a15-a14b31055b54
Automatique à variation continue,Traction,18026820,3603ec70-24b3-4279-bb34-93a0076d5ae1
Mécanique 5 rapports,Traction,14621754,43e2ad09-7652-43a7-84ee-476562ae3cef
Variateur,,1368035,4e7aea1c-2ee1-4870-8ff1-f5cbb0332d74
Mécanique 6 rapports,Traction,20296864,f10f71dd-1245-47b6-ba77-45ad66f9aa69
Mécanique robotisée 6 rapports à double embrayage,Traction,18961544,8193669f-0db8-4bf9-903f-3111e3f6c982
Automatique 8 rapports,Propulsion,43689000,67d69447-2bfb-4ac3-8e7e-8ee51b3284c4
Mécanique 6 rapports,Transmission intégrale,22132929,7ed05991-a88e-4ac4-936f-ff9295e9cbfb
Mécanique 6 rapports,Traction,14988967,84957746-0d8e-4afd-b0e5-b4fa51ac2d6e
Mécanique 6 rapports,Traction,17526075,34993d59-d916-4f55-8807-85a6731f9e82
Mécanique 6 rapports,Traction,23699259,76d7e92a-3801-4097-95b0-042528f8393c
Mécanique 6 rapports,Traction,23635164,e4fd3538-f7a8-4efd-8622-32d872d43458
Mécanique 6 rapports,Traction,15683333,9077516f-61ed-44fc-89c1-6a03aabec79c
Mécanique robotisée 7 rapports à double embrayage,Transmission intégrale,32054357,6de922b2-94d3-413b-8297-2e8c5dad89ea
Variateur,,813210,c5997c68-c67d-467d-9651-c7b57b93623d
Automatique 6 rapports,Propulsion,34427220,6e9d75e6-6385-46f8-953a-ac062e817e6d
Mécanique robotisée 7 rapports à double embrayage,Traction,16691500,da9f9602-a32f-487f-88f0-93b382fd6695
Mécanique robotisée 7 rapports à double embrayage,Traction,19702647,0cf98e56-5422-4fac-9767-a23a4e21ec9d
Automatique 4 rapports,Traction,14554988,b6a8731f-5203-40f7-b8d6-2a4c23b41560
Mécanique 5 rapports,Traction,14020860,0767433a-1b48-423d-9bb6-f2b5543648c5
Mécanique 5 rapports,Traction,8178835,5ce1dc9e-1100-40e9-9620-45e49a7aff76
Automatique 8 rapports,Traction,18260501,9149492a-884c-472b-9f92-3066deddc2a3
Mécanique robotisée 7 rapports à double embrayage,Traction,34144132,f7329e3e-cc93-4d5f-bd70-ce565002ce24
Manuelle 6,,12017880,68556cbc-4db8-4555-aa20-07997ac37239
Automatique 9,Transmission intégrale,31103609,4ecfdea3-63d0-469a-aae3-19c404c3cc97
