Predicted,RealPrice
22940145.080917,25027235
39805575.768079,38290301
30519087.705556,28742763
38007137.355593,40707230
23872599.362150,25584731
4397250.061070,4399879
20900847.060945,20000423
23774037.049646,24569888
13062968.237513,11797552
37615012.245585,35248442
16980982.222006,17960054
22987478.211123,21932631
9306432.847642,9847985
15160552.000459,12912544
890194.634410,928047
43103648.793875,41528452
51661127.929725,47904605
12872305.572369,12919221
71843224.891012,83924862
26530377.905640,22867355
24984101.749663,27040230
47703090.310831,48271818
32137079.731554,31683138
18406096.500495,17964728
22392489.071856,19501013
31407732.838075,31580318
53515821.752646,57297914
18157239.710716,18307237
20392340.086743,21318384
14089666.811872,13353200
26292452.916581,22881376
18159682.244219,18774599
78931054.052234,82122180
28202955.084310,27046907
17570077.210431,18860727
17275597.705382,16457819
24496927.903837,23747331
27389793.049012,28482376
16344329.803016,14882141
28657700.525197,26239038
8403273.134111,8205541
19458763.118036,20029800
32184819.485600,27327324
16630644.606283,14421456
39608963.750478,39518795
25570788.726589,28574513
23087904.072326,22172989
17736438.274622,17953377
2920523.983663,2997793
6167481.006780,6139134
50892338.113410,50541862
70796427.150947,54213992
18971792.917509,18327267
16376525.168951,16977258
29123697.755688,33282851
14527130.571682,14488222
28006440.582833,25618114
25572778.588204,26559515
28067553.823040,32320085
77931455.896829,69770470
24515631.830073,20486479
17611883.302038,17292394
21246883.803912,18761246
1441063.615680,1374712
28533609.560478,29777636
24303225.502286,24803569
3912324.183683,4002622
28087865.634645,30885952
33139176.163571,39606927
43022683.803368,41902342
35004159.122738,35861354
28332212.796774,26699723
20211171.565842,23568398
35617871.194223,32915638
21147299.206209,21120089
31054387.447649,29624074
6008920.590756,5941506
2037071.505463,2129835
55164507.836207,48505499
24844735.349216,25471229
21863602.125151,19862885
13073056.371105,11977820
17271657.951168,18359315
42209343.611555,42963921
21528812.733590,22426699
26774454.746726,24260094
23255861.720688,26324498
32013236.182984,30737731
32212703.266174,30779126
14180282.717913,12825081
26963649.796045,29109976
25008206.635631,30204938
30780000.127209,28402256
15463421.995971,15990457
17386754.497248,15089116
14610687.414050,15215971
12664179.737597,12451859
9545167.229414,10549028
20423247.159428,20904435
30188013.157990,30978089
17806899.804071,17713020
21732215.890968,21391826
24200700.751355,25397786
15469372.339078,16391053
30629181.718447,30879275
29657091.514264,30445296
31695549.242279,31012807
17936496.926133,17692990
10477352.829975,10014900
24402513.051209,24302824
26132581.349668,25437846
18992378.786698,19796119
30350363.475835,31780616
34961594.844981,41341507
51211300.030272,44799986
31027817.331536,35448740
28713440.898710,28574513
21050553.719912,19963034
33460059.044670,31620378
38000434.120222,41795516
31541808.391188,46085232
19421712.466438,17960054
15894048.879412,15216639
97137731.498798,103657553
18720168.636997,17218951
14988671.233574,15750099
19224359.694120,18781276
27813798.668673,28976444
21250314.835283,22700440
6486123.493025,6269327
27612413.027739,26873315
13380021.452546,14738594
17907566.680594,16991947
29004261.538342,29897815
30063410.037341,26779843
6863331.945931,6555086
18674692.541569,19862885
8387838.442993,8487962
10237072.022698,10502292
10513642.305503,10681892
18613147.522129,20657400
23135283.820250,20474462
68241951.546013,51610118
23848848.406016,23301334
8954290.450054,9346572
42883781.532520,54400937
30855361.054579,32341450
26733123.720336,26247050
18869321.749101,19355463
24779826.255495,23668547
29187207.094461,28049732
26637068.095255,23254598
23176723.761829,23915581
14222507.712270,15222648
20405665.064003,20196715
34940594.624671,37407654
13546017.313739,13720413
26710519.971753,28983121
19665811.661915,17759756
14868880.556320,15189265
9522624.714335,10015568
14670886.834915,15289414
8237229.833312,8078686
17281778.367515,17085419
24581934.686286,27273911
26723790.377155,26205655
23858816.757470,23738651
24184027.178099,26030728
25915920.571514,21098056
18881727.351031,20330247
19743495.633185,20550575
36723901.764765,31279871
23358729.618377,29143359
1495912.063987,1434801
16068762.794045,15015673
39974203.625544,40199809
24506149.339758,26559515
39772359.553730,41261388
6466785.534261,6309387
41707797.592538,36253938
43185948.469690,45451622
22166640.594870,17926671
36334517.502292,38791046
9345992.756121,7677422
8487317.864471,7878388
28424835.292692,27974954
17941682.257438,22006074
8808557.267610,8065333
25851524.068635,29637427
24313738.788223,22026103
38355755.147148,35940138
12232029.293354,11580563
22657480.281200,22900738
34599248.575767,31760586
27832340.489028,24588582
12602625.100955,13894005
24764671.910669,25425828
27373748.306286,27346018
13121199.688088,12191472
14336682.700242,14501575
40608542.589735,31580318
11572988.041209,10281964
29019321.392749,30345147
31542641.863841,30845892
34559136.808831,28252033
27890957.429042,26539485
16404935.624787,18741216
2878201.006923,2803504
17131570.631098,18394033
17913262.266375,16391053
32167571.089787,32183883
3912324.183683,3999283
4380591.973607,4399879
15761631.379044,21164822
10849277.392141,11043764
25148308.442263,22777889
10693262.298385,10348730
12495261.022849,10772694
15788520.341087,19462289
17876795.391853,18260501
8282400.673180,8312367
74924709.019099,73642898
17020474.919036,16224138
19283401.741381,16320281
19447218.791579,22580261
35992114.805837,44799986
21199395.526478,22780559
19730200.719998,20397013
25354601.288264,30532092
25401294.129556,23923593
27764164.818044,42983951
19150225.361817,17679637
53890275.729532,49019597
66132501.383281,62519682
12857286.436630,14818714
20796594.489082,21455922
10109668.065351,12051263
35827296.450337,34066684
8105307.790207,8879878
22748295.865911,21231588
19848409.759115,22700440
11951425.040124,11480414
5928213.739384,5874740
6417740.544697,5775259
13838348.138191,11810905
45223218.082852,47003264
19903128.414582,21932631
16890520.859061,13840592
31452125.657813,27104325
16440831.129516,16414421
25268170.278956,23287981
22392668.698814,24002377
17057125.581882,19288697
18486105.565494,18193735
30931376.040471,28778817
34976166.017441,33476472
10724984.725442,9754513
32332423.554351,32328097
35114894.718856,33256145
21108266.075760,22399993
1290789.838109,1334652
5541353.077049,5337942
12360964.525289,12254899
41742038.914942,41061090
24744465.602642,24703420
10142875.479089,10080998
2298962.605380,2269376
1286230.112025,1333317
27971869.622478,25838442
33571576.363720,30373189
42119381.082949,43331134
29620607.683597,30345147
901796.557257,813210
22831056.250556,20497162
26999637.265276,26806549
1524699.930916,1668482
30839867.052574,27440826
14035163.706102,13353200
21656854.044635,22333227
27645348.859387,27216492
28774103.586161,29076593
15144126.689378,18427416
12462164.649242,12351710
11310798.088018,10772026
27289108.059575,27929553
8827130.766645,8592784
2332141.199505,2369525
15555748.553974,15549801
38593244.689290,40940911
31711721.559970,30636914
46181695.586401,53179119
19628889.950008,17225628
7351605.663398,6249298
31444407.416732,31513552
90960497.789552,66098340
27710934.683956,24436356
17969237.205527,16424436
28922254.713842,25417816
16065479.083153,17850558
33420536.755030,30645594
22346397.375745,25938591
26303269.509655,26088814
27779720.004044,28549142
